Type;Operation;Path
Value;Modified;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Value;Modified;HKLM\SOFTWARE\Microsoft\Multimedia\Audio\Journal\Render:  53 00 57 00 44 00 5C 00 4D 00 4D 00 44 00 45 00 56 00 41 00 50 00 49 00 5C 00 7B 00 30 00 2E 00 30 00 2E 00 30 00 2E 00 30 00 30 00 30 00 30 00 30 00 30 00 30 00 30 00 7D 00 2E 00 7B 00 37 00 61 00 64 00 65 00 36 00 62 00 63 00 32 00 2D 00 65 00 35 00 35 00 37 00 2D 00 34 00 34 00 65 00 30 00 2D 00 39 00 33 00 35 00 36 00 2D 00 39 00 34 00 32 00 33 00 62 00 61 00 32 00 32 00 62 00 30 00 62 00 66 00 7D 00 00 00 00 00 00 00 00 00 01 00 00 00 0C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DE 91 0C 94 6F 39 27 40 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 
Value;Modified;00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
Value;Modified;HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\VFUProvider\StartTime:  C5 CF E3 B9 81 58 D8 01
Value;Modified;HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\VFUProvider\StartTime:  86 B9 76 90 82 58 D8 01
Value;Modified;HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Notifications\Data\418A073AA3BC3475:  E1 01 00 00 00 00 00 00 04 00 04 00 01 02 06 00 00 00 00 00 02 00 00 00 6B 50 7E 00 0C 00 00 00 87 DE 83 00 03 00 00 00 90 A6 A1 01 CC 00 00 00 A1 9F 5E 00 02 00 00 00 DB B4 EF 00 01 00 00 00 FE D3 7A 00 07 00 01 00 00 00 02 00 00 00 18 7D C7 00 03 00 00 00 3D D7 34 01 B3 00 00 00 56 73 7D 00 0C 00 00 00 6B 50 7E 00 01 00 00 00 90 D5 D0 00 0C 00 00 00 E6 C5 31 00 36 00 00 00 EF E5 C5 01 01 00 04 00 00 00 1C 00 00 00 1A 9C B2 00 01 00 05 00 00 00 02 00 00 00 9F C8 CA 00 01 00 64 00 00 00 01 00 00 00 F7 DA AD 01 06 00 65 00 00 00 13 00 00 00 1C 95 5C 00 20 00 00 00 65 A6 9E 00 02 00 00 00 90 D5 D0 00 5E 00 00 00 A2 05 06 00 0A 30 00 00 E6 C5 31 00 37 01 00 00 F0 E0 B6 00 02 00 66 00 00 00 61 00 00 00 65 A6 9E 00 21 00 00 00 A2 05 06 00 01 00 67 00 00 00 23 00 00 00 A2 05 06 00 01 00 68 00 00 00 AC 00 00 00 A2 05 06 00 01 00 69 00 00 00 34 07 00 00 65 A6 9E 00 01 00 6B 00 00 00 08 00 00 00 65 A6 9E 00 
Value;Modified;01 00 70 00 00 00 05 00 00 00 65 A6 9E 00 01 00 71 00 00 00 04 00 00 00 65 A6 9E 00 01 00 72 00 00 00 77 01 00 00 A2 05 06 00 01 00 73 00 00 00 31 00 00 00 65 A6 9E 00 01 00 76 00 00 00 04 00 00 00 65 A6 9E 00 01 00 77 00 00 00 08 00 00 00 65 A6 9E 00 01 00 7D 00 00 00 2B 00 00 00 65 A6 9E 00 01 00 7F 00 00 00 33 00 00 00 65 A6 9E 00 01 00 97 00 00 00 14 00 00 00 BE B3 EF 00
Value;Modified;HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Notifications\Data\418A073AA3BC3475:  EB 01 00 00 00 00 00 00 04 00 04 00 01 02 06 00 00 00 00 00 02 00 00 00 6B 50 7E 00 0C 00 00 00 87 DE 83 00 03 00 00 00 90 A6 A1 01 CF 00 00 00 A1 9F 5E 00 02 00 00 00 DB B4 EF 00 01 00 00 00 FE D3 7A 00 07 00 01 00 00 00 02 00 00 00 18 7D C7 00 03 00 00 00 3D D7 34 01 BA 00 00 00 56 73 7D 00 0C 00 00 00 6B 50 7E 00 02 00 00 00 90 D5 D0 00 0C 00 00 00 E6 C5 31 00 36 00 00 00 EF E5 C5 01 01 00 04 00 00 00 1C 00 00 00 1A 9C B2 00 01 00 05 00 00 00 02 00 00 00 9F C8 CA 00 01 00 64 00 00 00 01 00 00 00 F7 DA AD 01 06 00 65 00 00 00 13 00 00 00 1C 95 5C 00 22 00 00 00 65 A6 9E 00 02 00 00 00 90 D5 D0 00 72 00 00 00 A2 05 06 00 0A 30 00 00 E6 C5 31 00 3D 01 00 00 F0 E0 B6 00 02 00 66 00 00 00 68 00 00 00 65 A6 9E 00 21 00 00 00 A2 05 06 00 01 00 67 00 00 00 37 00 00 00 A2 05 06 00 01 00 68 00 00 00 C2 00 00 00 A2 05 06 00 01 00 69 00 00 00 92 07 00 00 65 A6 9E 00 01 00 6B 00 00 00 09 00 00 00 65 A6 9E 00 
Value;Modified;01 00 70 00 00 00 05 00 00 00 65 A6 9E 00 01 00 71 00 00 00 04 00 00 00 65 A6 9E 00 01 00 72 00 00 00 AB 01 00 00 A2 05 06 00 01 00 73 00 00 00 32 00 00 00 65 A6 9E 00 01 00 76 00 00 00 04 00 00 00 65 A6 9E 00 01 00 77 00 00 00 09 00 00 00 65 A6 9E 00 01 00 7D 00 00 00 2C 00 00 00 65 A6 9E 00 01 00 7F 00 00 00 35 00 00 00 65 A6 9E 00 01 00 97 00 00 00 15 00 00 00 BE B3 EF 00
Value;Modified;HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{9ECD9F35-130A-4C0C-A551-9D3335B165D7}\DynamicInfo:  03 00 00 00 51 EE B2 A9 F2 52 D8 01 70 02 B4 20 7E 58 D8 01 00 00 00 00 00 00 00 00 DE E9 BF 20 7E 58 D8 01
Value;Modified;HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{9ECD9F35-130A-4C0C-A551-9D3335B165D7}\DynamicInfo:  03 00 00 00 51 EE B2 A9 F2 52 D8 01 70 8B 06 70 82 58 D8 01 00 00 00 00 00 00 00 00 AF 5F 1E 70 82 58 D8 01
Value;Modified;HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{A08D6A77-C926-4E78-9ED0-09836E2769AE}\DynamicInfo:  03 00 00 00 1D 45 B5 A9 F2 52 D8 01 19 46 8E 1D 7E 58 D8 01 00 00 00 00 00 00 00 00 27 B9 99 2E 7E 58 D8 01
Value;Modified;HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{A08D6A77-C926-4E78-9ED0-09836E2769AE}\DynamicInfo:  03 00 00 00 1D 45 B5 A9 F2 52 D8 01 8D FB 29 31 82 58 D8 01 00 00 00 00 00 00 00 00 42 11 3D 31 82 58 D8 01
Value;Modified;HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{A2FFCE6E-7F06-494A-8C84-6EFCAEB075BB}\DynamicInfo:  03 00 00 00 87 33 DD A7 F2 52 D8 01 9E 41 AF 20 7E 58 D8 01 00 00 00 00 00 00 00 00 48 92 BD 20 7E 58 D8 01
Value;Modified;HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{A2FFCE6E-7F06-494A-8C84-6EFCAEB075BB}\DynamicInfo:  03 00 00 00 87 33 DD A7 F2 52 D8 01 7D C4 EE 6F 82 58 D8 01 00 00 00 00 00 00 00 00 AE 97 12 70 82 58 D8 01
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-714192414-4250913369-3940896113-1001\\Device\HarddiskVolume2\Windows\System32\dllhost.exe:  30 2C 67 BF 81 58 D8 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-714192414-4250913369-3940896113-1001\\Device\HarddiskVolume2\Windows\System32\dllhost.exe:  DE 46 16 97 82 58 D8 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-714192414-4250913369-3940896113-1001\\Device\HarddiskVolume2\Users\Cuckoo\Desktop\Tools\Procmon64.exe:  F9 37 87 7F 81 58 D8 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\bam\State\UserSettings\S-1-5-21-714192414-4250913369-3940896113-1001\\Device\HarddiskVolume2\Users\Cuckoo\Desktop\Tools\Procmon64.exe:  EE 60 DE 8C 82 58 D8 01 00 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00
Value;Modified;HKLM\SYSTEM\ControlSet001\Services\W32Time\SecureTimeLimits\SecureTimeEstimated:  C5 F9 46 D1 94 58 D8 01
