"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"14:44:40,1839818","sodinokibi.exe","8376","RegSetInfoKey","HKCR\SystemFileAssociations\.exe","SUCCESS","KeySetInformationClass: KeySetHandleTagsInformation, Length: 0"
"14:44:40,1839931","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
"14:44:40,1840076","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1840360","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe\ShellEx\IconHandler","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1840516","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1840603","sodinokibi.exe","8376","RegOpenKey","HKCR\SystemFileAssociations\.exe\ShellEx\IconHandler","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1841057","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: Name"
"14:44:40,1841165","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1841547","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\exefile","NAME NOT FOUND","Desired Access: Maximum Allowed"
"14:44:40,1841675","sodinokibi.exe","8376","RegQueryValue","HKCR\exefile\DocObject","NAME NOT FOUND","Length: 12"
"14:44:40,1841793","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: Name"
"14:44:40,1841898","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1842048","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\exefile\DocObject","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1842283","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1842381","sodinokibi.exe","8376","RegOpenKey","HKCR\exefile\DocObject","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1842561","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
"14:44:40,1842765","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1843317","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe","NAME NOT FOUND","Desired Access: Maximum Allowed"
"14:44:40,1843471","sodinokibi.exe","8376","RegQueryValue","HKCR\SystemFileAssociations\.exe\DocObject","NAME NOT FOUND","Length: 12"
"14:44:40,1843584","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
"14:44:40,1843860","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1844023","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe\DocObject","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1844238","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1844329","sodinokibi.exe","8376","RegOpenKey","HKCR\SystemFileAssociations\.exe\DocObject","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1844550","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: Name"
"14:44:40,1844662","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1844992","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\exefile","NAME NOT FOUND","Desired Access: Maximum Allowed"
"14:44:40,1845133","sodinokibi.exe","8376","RegQueryValue","HKCR\exefile\BrowseInPlace","NAME NOT FOUND","Length: 12"
"14:44:40,1845404","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: Name"
"14:44:40,1845553","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1847264","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\exefile\BrowseInPlace","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1848421","sodinokibi.exe","8376","RegQueryKey","HKCR\exefile","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1848689","sodinokibi.exe","8376","RegOpenKey","HKCR\exefile\BrowseInPlace","NAME NOT FOUND","Desired Access: Query Value"
"14:44:40,1849343","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
"14:44:40,1850741","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: HandleTags, HandleTags: 0x401"
"14:44:40,1851260","sodinokibi.exe","8376","RegOpenKey","HKCU\Software\Classes\SystemFileAssociations\.exe","NAME NOT FOUND","Desired Access: Maximum Allowed"
"14:44:40,1851610","sodinokibi.exe","8376","RegQueryValue","HKCR\SystemFileAssociations\.exe\BrowseInPlace","NAME NOT FOUND","Length: 12"
"14:44:40,1851906","sodinokibi.exe","8376","RegQueryKey","HKCR\SystemFileAssociations\.exe","SUCCESS","Query: Name"
