Type;Operation;Path
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\f\hydrogen.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\f\models.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\f\roomadjustment.components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\r\components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\r\desktoplearning.components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\r\hydrogen.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\r\models.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..adjustment.appxmain_31bf3856ad364e35_10.0.19041.746_none_3adcb6f0fe65c582\r\roomadjustment.components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..esslockapp.appxmain_31bf3856ad364e35_10.0.19041.844_none_15e5bfcd83a1911a\f\assignedaccesslockapp.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..esslockapp.appxmain_31bf3856ad364e35_10.0.19041.844_none_15e5bfcd83a1911a\f\iotassignedaccesslockframework.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..esslockapp.appxmain_31bf3856ad364e35_10.0.19041.844_none_15e5bfcd83a1911a\r\assignedaccesslockapp.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..esslockapp.appxmain_31bf3856ad364e35_10.0.19041.844_none_15e5bfcd83a1911a\r\iotassignedaccesslockframework.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\f\analog.console.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\f\analog.shell.util.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\f\components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\f\hydrogen.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\f\models.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\f\whatsnew.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\r\analog.console.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\r\analog.shell.util.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\r\components.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\r\hydrogen.winmd
File;Deleted;C:\Windows\servicing\LCU\Package_for_RollupFix~31bf3856ad364e35~amd64~~19041.1645.1.11\amd64_microsoft-windows-a..g-whatsnew.appxmain_31bf3856ad364e35_10.0.19041.746_none_57c8601baf818c0d\r\models.winmd
